name	type	units	sampling_frequency	description	low_cutoff	high_cutoff	notch	software_filters	status	status_description
Fp1	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Fp2	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
F3	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
F4	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
C3	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
C4	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P3	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P4	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
O1	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
O2	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
F7	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
F8	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
T7	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
T8	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P7	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P8	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Fz	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Cz	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Pz	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Oz	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
FC1	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
FC2	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
CP1	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
CP2	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
FC5	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
FC6	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
CP5	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
CP6	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
TP9	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
TP10	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
POz	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
F1	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
F2	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
C1	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
C2	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P1	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P2	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
AF3	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
AF4	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
FC3	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
CP3	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
CP4	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
PO3	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
PO4	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
F5	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
F6	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
C5	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
C6	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P5	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P6	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
AF7	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
AF8	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
FT7	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
FT8	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
TP7	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
TP8	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
PO7	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
PO8	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Fpz	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
CPz	eeg	uV	250	n/a	n/a	n/a	n/a	n/a	n/a	n/a
